SKU,Item Name,Category,Country,Brand,CY Sales (YTD),PY Sales (YTD),YoY Sales %,CY Revenue (YTD),Weekly Run Rate,Monthly Target,Weekly Target,Annual Target,Expected YTD,YTD Variance,Sales Pace %,Sales Health,Remaining Target,Req. Weekly Sales,Req. Monthly Sales,Effort Multiplier,Total Stock,TWC Stock,Bonded Stock,Stock Coverage (Mo),Stock Coverage (Wk),TWC Coverage (Mo),TWC Coverage (Wk),Wks Until Stockout,Stockout Risk,Bonded Reorder,TWC Reorder,Bonded Est. Reorder Qty,TWC Est. Reorder Qty,CY Purchases,PY Purchases,Stock Turnover
013-029,Riedel Beer,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,1.4,0.32307692307692304,16.799999999999997,2.5846153846153843,-2.5846153846153843,-1.0,Critical,16.799999999999997,0.3818181818181818,1.6545454545454543,1.1818181818181819,188,188,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-030,"Riedel Optic ""O"" All purpose Glass",Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,2.4,0.5538461538461538,28.799999999999997,4.43076923076923,-4.43076923076923,-1.0,Critical,28.799999999999997,0.6545454545454544,2.836363636363636,1.1818181818181819,110,110,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-033,Riedel Bordeaux Grand Cru,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,1.6,0.3692307692307693,19.200000000000003,2.9538461538461545,-2.9538461538461545,-1.0,Critical,19.200000000000003,0.43636363636363645,1.8909090909090913,1.1818181818181819,33,33,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-034,Riedel New World Pinot,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,5,5,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-035,Riedel New World Shiraz,Glass,Austria,Riedel,12.0,0.0,,183000.0,1.5,1.2,0.2769230769230769,14.399999999999999,2.215384615384615,9.784615384615385,4.416666666666668,Ahead,2.3999999999999986,0.054545454545454515,0.23636363636363622,0.19696969696969688,24,24,0,3.7,16.0,3.7,16.0,16.0,HIGH,REORDER,,42.0,0.0,0.0,0.0,0.3333333333333333
013-036,Riedel Performance Cabernet / Merlot,Glass,Austria,Riedel,2.0,0.0,,81356.0,0.25,0.19999999999999998,0.04615384615384615,2.4,0.3692307692307692,1.6307692307692307,4.416666666666667,Ahead,0.3999999999999999,0.009090909090909089,0.039393939393939384,0.19696969696969693,57,57,0,52.72500000000001,228.0,52.72500000000001,228.0,228.0,,,,0.0,0.0,0.0,0.0,0.03389830508474576
013-037,Riedel Performance Pinot Noir,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,0.7000000000000001,0.16153846153846155,8.4,1.2923076923076924,-1.2923076923076924,-1.0,Critical,8.4,0.19090909090909092,0.8272727272727273,1.1818181818181819,59,59,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-038,Riedel Performance Riesling,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,59,59,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-039,Riedel Bar Tequila,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,12,12,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-040,Riedel Highball,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,0.4,0.09230769230769233,4.800000000000001,0.7384615384615386,-0.7384615384615386,-1.0,Critical,4.800000000000001,0.10909090909090911,0.47272727272727283,1.1818181818181819,135,135,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-041,Riedel Double Old Fashioned,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,38,38,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-042,Riedel Winewings Cab/Merlot,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,1.9,0.4384615384615384,22.799999999999997,3.507692307692307,-3.507692307692307,-1.0,Critical,22.799999999999997,0.5181818181818181,2.2454545454545447,1.1818181818181817,19,19,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-043,Riedel Performance Chardonnay,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42,42,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-045,Riedel Degustazione Champagne Flute,Glass,Austria,Riedel,4.0,4.0,0.0,47458.0,0.5,0.7999999999999999,0.1846153846153846,9.6,1.4769230769230768,2.523076923076923,1.7083333333333335,Ahead,5.6,0.12727272727272726,0.5515151515151514,0.6893939393939393,120,120,0,55.50000000000001,240.0,55.50000000000001,240.0,240.0,,,,0.0,0.0,0.0,0.0,0.03225806451612903
013-046,Riedel Nick Nora,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,96,96,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-047,Riedel Sour,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,48,48,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
013-048,Riedel Bar Brandy Vinum,Glass,Austria,Riedel,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,19,19,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
